39101	AFD Dispatch
39102	AFD TAC 2
39103	AFD TAC 3
39104	AFD TAC 4
39105	AFD TAC 5
39106	AFD TAC 6
39107	AFD ARSON
39115	AFD ADMIN
39116	V FIRE 21
39117	AFD SPC Ops1
39118	AFD SPC Ops2
39119	AFD SPC Ops3
39120	AFD SPC Ops5
39121	AFD SPC Ops5
39122	AFD SPC Ops6
39123	AFD SPC Ops7
39124	AFD SPC Ops8
39125	AFD SPC Ops9
39126	AFD SPCOps10
39128	AFD TRN 1
39129	AFD TRN 2
3740	Blue NE
3752	Blue SW
3728	Blue NW
3696	Blue SE
2321	Red NE
2320	Red SW
2348	Red NW
2297	Red SE
3704	Green 1
2554	Gold-1
2324	Gold-2
2332	Grey
3030	Green NE
3026	Green NW
2391	Green SE
3022	Green SW
